sample_name,sampleID,region,lat,long,r420,d13c,r_ra,r_ea_err,rc_ra,rc_ra_err,co3_he3,co2_he3_err,phase,origin,reference
Auco,CH-AU200310,SVZ,-32.89,-70.71,0.2,-12.15,0.96,NA,1.13,0.05,1712282056151.22,NA,W,this_study,2020BMS
Bano Morales,CH-BM-200312,SVZ,-33.82,-70.06,8.1,-8.64,1.61,NA,1.63,0.05,NA,NA,G,this_study,2020BMS
Campanario,CH-CP-200307,SVZ,-35.93,-70.59,64.2,-8.72,5.01,NA,5.03,0.14,10000000000,NA,G,this_study,2020BMS
Chillan,CH1,SVZ,-36.9,-71.4,NA,-7.9,NA,NA,NA,NA,NA,NA,G,this_study,2022Felipe
Chillan,CH3,SVZ,-36.9,-71.4,NA,-7.9,NA,NA,NA,NA,NA,NA,G,this_study,2022Felipe
Chillan,CH5,SVZ,-36.9,-71.4,NA,-8.5,6.32,NA,NA,NA,50000000000,NA,G,this_study,2022Felipe
Chillan,CH6,SVZ,-36.9,-71.4,NA,-8.3,6.23,NA,NA,NA,53000000000,NA,G,this_study,2022Felipe
Cordon Caulle,Las Sopas,SVZ,-40.49,-72.17,NA,-4.1,6.6,NA,NA,NA,71000000000,NA,G,this_study,2022Felipe
El Medano,CH-EM-200301,SVZ,-35.82,-70.76,0.4,-10.19,0.94,NA,0.74,0.03,34281350639.0367,NA,W,this_study,2020BMS
Panamavida,CH-PM200308,SVZ,-35.76,-71.42,0.4,NA,1.12,NA,1.43,0.03,NA,NA,G,this_study,2020BMS
Panamavida,CH-PM200308,SVZ,-35.76,-71.42,0.4,-15.34,0.97,NA,0.89,0.04,22720409826.2596,NA,W,this_study,2020BMS
San Pedro bano termale,CH-SP-200302-2,SVZ,-35.14,-70.48,40,-12.56,2.46,NA,2.47,0.04,120000000,NA,G,this_study,2020BMS
San Pedro bano termale,CH-SP200302-2,SVZ,-35.14,-70.48,59.5,-12.56,2.4,NA,2.4,0.05,47000000,NA,G,this_study,2020BMS
Termas de Catillo,CH-CT200308,SVZ,-36.29,-71.65,0.3,NA,1.1,NA,NA,NA,NA,NA,G,this_study,2020BMS
Termas de Catillo,CH-CT200308,SVZ,-36.29,-71.65,25.3,-17.17,0.65,NA,0.65,0.03,3687743220.29859,NA,W,this_study,2020BMS
Termas de Cauquenes,CH-CQ200301,SVZ,-34.25,-70.56,68.9,-15.9,1.67,NA,1.68,0.08,NA,NA,G,this_study,2020BMS
Termas del Flaco,CH-TF-200303,SVZ,-34.96,-70.43,4,-11.15,1.44,NA,1.48,0.04,2200000000,NA,G,this_study,2020BMS
Termas del Flaco,CH-TF-200303,SVZ,-34.96,-70.43,0.6,-11.15,1.13,NA,1.27,0.02,39000000000,NA,G,this_study,2020BMS
Termas del Flaco,CH-TF200303,SVZ,-34.96,-70.43,2.5,NA,1.35,NA,1.4,0.07,137464756413.861,NA,W,this_study,2020BMS
Termas del Plomo,CH-TP-200304,SVZ,-33.62,-69.91,9.2,NA,2.52,NA,2.58,0.04,200000000,NA,G,this_study,2020BMS
Termas del Plomo,CH-TP200304,SVZ,-33.62,-69.91,21.1,NA,2.32,NA,2.34,0.05,120000000,NA,G,this_study,2020BMS
Aguas Caliente Galan,AR-GA190226,CVZ,-25.83,-66.92,177.3,-1.5,1.56,NA,1.56,0.07,87787131708.0839,NA,W,this_study,2019BMS
Antuco,AR-AO190224,CVZ,-24.18,-66.67,99.8,-7.66,1.96,NA,1.96,0.09,6673353464.81371,NA,W,this_study,2019BMS
Baños de Fleming,BF211031,CVZ,-24.59225,-64.90953,0.2,NA,0.82,NA,NA,0.04,NA,NA,G,this_study,2021Ago
Botijuela Vista,AR-BJ190222,CVZ,-25.74,-67.82,64.5,NA,1.24,NA,1.24,0.06,82060688935.94,NA,W,this_study,2019BMS
Caimancito,CA211030-1,CVZ,-23.74572,-64.51825,1.4,NA,0.59,NA,0.5,0.01,NA,NA,G,this_study,2021Ago
Caimancito,CA211030-2,CVZ,-23.74429,-64.51986,n.d.,NA,0.48,NA,NA,NA,NA,NA,G,this_study,2021Ago
El Ceibal,EC-211106,CVZ,-26.14969,-64.955,1.2,NA,0.71,NA,0.63,0.01,NA,NA,G,this_study,2021Ago
Fiambalá,FB210806,CVZ,-27.7425,-67.54878,215.3,NA,0.24,NA,0.24,0,NA,NA,G,this_study,2021Ago
Galan Fumerole,AR-GF190226-1,CVZ,-25.86,-66.99,197.9,NA,1.77,NA,1.77,0.04,4178001856.99905,NA,G,this_study,2019BMS
Galan Fumerole,AR-GF190226-2,CVZ,-25.86,-66.99,217.7,-6.2,1.79,NA,1.79,0.04,4129584125.19274,NA,G,this_study,2019BMS
Inca Chule,AR-IN190223,CVZ,-24.28,-66.47,106.7,-12,1.97,NA,1.97,0.04,NA,NA,G,this_study,2019BMS
Inca Chule,AR-IN190223,CVZ,-24.28,-66.47,12.7,NA,1.77,NA,1.79,0.08,19665926845.9939,NA,W,this_study,2019BMS
Inca Chule,AR-IN190223,CVZ,-24.28,-66.47,8.8,NA,1.68,NA,1.71,0.08,159272457401.868,NA,W,this_study,2019BMS
La Colcha,AR-LC190226,CVZ,-26.03,-66.99,333.3,-7.5,1.45,NA,1.45,0.03,22239753128.9853,NA,G,this_study,2019BMS
La Colcha,AR-LC190226,CVZ,-26.03,-66.99,545.6,-7.5,2.58,NA,2.58,0.06,685621182.931687,NA,G,this_study,2019BMS
Pasto Grande,AR-PG190225,CVZ,-24.36,-66.57,107.7,-15.33,1.34,NA,1.34,0.06,NA,NA,W,this_study,2019BMS
Pio Perez,AR-PP190301,CVZ,-25.41,-64.59,1.7,-1.2,0.36,NA,0.21,0,37188347148.891,NA,G,this_study,2019BMS
Pio Perez,AR-PP190301,CVZ,-25.41,-64.59,1.4,-10.67,0.33,NA,0.14,0.01,21697208055.2422,NA,W,this_study,2019BMS
Pio Perez,AR-PP190301,CVZ,-25.41,-64.59,1.1,-10.67,0.36,NA,0.11,0.01,4864360331.27374,NA,W,this_study,2019BMS
Pizarro,PZ211029,CVZ,-24.23715,-64.15768,25.4,NA,0.51,NA,0.51,0.01,NA,NA,G,this_study,2021Ago
Rosairio de la Frontera,AR-RF190301,CVZ,-25.84,-64.93,6,-8.28,0.36,NA,0.33,0.02,95764291022.7032,NA,W,this_study,2019BMS
Tocomar,AR-TM190224,CVZ,-24.19,-66.55,72.3,-11.7,2.47,NA,2.48,0.05,168423471199.319,NA,G,this_study,2019BMS
Villa Vil,AR-VV190228,CVZ,-27.11,-66.82,79.5,-13.28,0.9,NA,0.89,0.04,8828051197.98385,NA,W,this_study,2019BMS
Agua de la Vaca,VA,SVZ,-38.58,-71.63,2.5,-13.7,3.91,0.08,4.33,0.01,60000000,NA,G,published,Tardani 2016 GCA
Aguas Calientes,AC,SVZ,-40.74,-72.31,34.8,-9.5,5.66,NA,6.12,1.07,8900000000,1600000000,W,published,2009Ray
Anfiteatro,AF1,SVZ,-37.82,-71.11,2445,-6.8,NA,NA,5.01,NA,1400000000,NA,G,published,2013Augusto
Anfiteatro,AF2,SVZ,-37.82,-71.11,NA,-7,NA,NA,4.93,NA,4200000000,NA,G,published,2013Augusto
Azufre volcano,Azf2,SVZ,-35.32,-70.54,NA,-11.9,NA,NA,NA,NA,NA,NA,G,published,2016Tassi
Balboa,BB1,SVZ,-38.96,-71.71,357.9,-10.8,6.41,NA,6.46,0.15,2620000000,100000000,W,published,2009Ray
Balboa,BB2,SVZ,-38.96,-71.71,461.5,-10.8,6.43,NA,6.47,0.15,2620000000,100000000,W,published,2009Ray
Ban˜ os del Toro (Sierra,BT,SVZ,-38.57,-71.62,51.3,-8.8,4.59,0.09,4.61,0.01,8730000000,NA,G,published,Tardani 2016 GCA
Bano 7,BN7,SVZ,-37.82,-71.1,391.2,-8.3,7.6,NA,7.6,0.1,9800000000,200000000,G,published,2006Varekamp
Baños Los Humos,30a,SVZ,-34.8,-70.46,NA,-8.9,NA,NA,NA,NA,NA,NA,G,published,2016Benavente
Baños Los Humos,30b,SVZ,-34.8,-70.46,17,-8.5,3.85,NA,3.9,NA,66000000000,NA,G,published,2016Benavente
Baños Los Humos,30c,SVZ,-34.8,-70.46,38,-8.7,3.58,NA,3.6,NA,108000000000,NA,G,published,2016Benavente
Baños Morales,24,SVZ,-33.82,-70.06,NA,-8.6,1.53,NA,1.81,NA,138000000000,NA,G,published,2016Benavente
Barro Colorado,39a,SVZ,-35.41,-70.48,56,-5.72,3.26,NA,3.27,NA,146000000000,NA,G,published,2016Benavente
Chancho Co,CC2,SVZ,-37.82,-71.16,914,NA,NA,NA,5.02,NA,7900000000,NA,G,published,2013Augusto
Chancho Co,CC3,SVZ,-37.83,-71.11,NA,-8.1,NA,NA,7.01,NA,8800000000,NA,G,published,2013Augusto
Chihuío,CHH,SVZ,-40.19,-71.93,103.6,-10.8,4.31,NA,4.41,0.12,930000000,30000000,W,published,2009Ray
Chillán,F,SVZ,-36.9,-71.41,4.5,-7.8,2.38,NA,2.49,0.09,34700000000,1300000000,G,published,2009Ray
Chillán,F2,SVZ,-36.9,-71.41,96.4,-6,2.55,NA,2.6,0.2,40200000000,3000000000,G,published,2009Ray
Coñaripe,CN,SVZ,-39.64,-71.92,210.6,-11.3,4.09,NA,4.13,0.09,3630000000,100000000,W,published,2009Ray
COP,COP2,SVZ,-37.83,-71.11,6.72,-7.5,NA,NA,7.37,NA,57000000000,NA,G,published,2013Augusto
Copahue,AF,SVZ,-37.84,-71.19,38.7,-7.39,4.61,0.1,4.64,0.14,NA,NA,G,published,2021Tardani
Copahue,CB,SVZ,-37.84,-71.19,7.1,-7.51,6.79,0.14,7.06,0.2,NA,NA,G,published,2021Tardani
Copahue,CLM,SVZ,-37.84,-71.19,471.46,-7.71,7.17,0.39,7.17,0.42,NA,NA,G,published,2021Tardani
Copahue,COP-2,SVZ,-37.84,-71.19,323.8,-7.81,6.43,0.14,6.44,0.19,NA,NA,G,published,2021Tardani
Copahue,COP-2-WG-15,SVZ,-37.84,-71.19,233.61,-6.96,7.5,0.06,7.51,0.06,4480000000,NA,G,published,2016Roulleau
Copahue,COP-AF-BG-15,SVZ,-37.84,-71.19,0.99,-6.18,3.76,0.08,4.66,0.08,NA,NA,G,published,2016Roulleau
Copahue,COP-AF-Fl-14,SVZ,-37.84,-71.19,55.23,-7.9,5.27,0.11,5.29,0.01,17100000000,NA,G,published,2016Roulleau
Copahue,COP-AF-Fl-15,SVZ,-37.84,-71.19,70.94,-6.52,5.37,0.03,5.39,0.03,2520000000,NA,G,published,2016Roulleau
Copahue,COP-CB-Fl-14,SVZ,-37.84,-71.19,8.51,-8.1,7.27,0.15,7.51,0.3,10800000000,NA,G,published,2016Roulleau
Copahue,COP-CB-Fl-15,SVZ,-37.84,-71.19,652.17,NA,7.86,0.07,7.86,0.07,6900000000,NA,G,published,2016Roulleau
Copahue,COP-CC-Fl-14,SVZ,-37.84,-71.19,3.21,-9.82,4.78,0.1,5.19,0.45,97000000000,NA,G,published,2016Roulleau
Copahue,COP-CC2-Fl-15,SVZ,-37.84,-71.19,0.95,-6.92,3.65,0.02,4.57,0.03,7660000000,NA,G,published,2016Roulleau
Copahue,COP-CC3-W-15,SVZ,-37.84,-71.19,1.64,-8.24,3.7,0.08,4.18,0.08,NA,NA,W,published,2016Roulleau
Copahue,COP-LM-BG-15,SVZ,-37.84,-71.19,82.12,-6.52,7.47,0.15,7.49,0.15,10800000000,NA,G,published,2016Roulleau
Copahue,COP-LM-FL-15,SVZ,-37.84,-71.19,562.38,-6.95,7.09,0.04,7.1,0.04,6500000000,NA,G,published,2016Roulleau
Copahue,COP-LM2-BG-15,SVZ,-37.84,-71.19,NA,-6.27,NA,NA,NA,NA,NA,NA,G,published,2016Roulleau
Copahue,COP-LMM-BG-14,SVZ,-37.84,-71.19,81.59,-7.38,7.57,0.15,7.59,0.01,5500000000,NA,G,published,2016Roulleau
Copahue,COP-LMM-BG-15,SVZ,-37.84,-71.19,12.32,-6.02,7.32,0.06,7.45,0.06,4670000000,NA,G,published,2016Roulleau
Copahue,COP-LV-BG-15,SVZ,-37.84,-71.19,32.43,-6.11,7.49,0.03,7.55,0.03,6730000000,NA,G,published,2016Roulleau
Copahue,COP-PM-BG-15,SVZ,-37.84,-71.19,14.59,-10.45,6.49,0.04,6.59,0.04,27900000000,NA,G,published,2016Roulleau
Copahue,COP-TC-BG-15,SVZ,-37.84,-71.19,16.92,-6.45,7.49,0.09,7.59,0.09,6200000000,NA,G,published,2016Roulleau
Copahue,CPH,SVZ,-37.84,-71.19,173.83,-7.56,7.35,0.21,7.36,0.26,NA,NA,G,published,2021Tardani
Copahue,LMM,SVZ,-37.84,-71.19,27.17,-7.23,8.28,0.18,8.37,0.25,NA,NA,G,published,2021Tardani
Copahue Volcano,Anfiteatro,SVZ,-37.84,-71.19,23,-7.6,NA,NA,4.63,NA,7700000000,NA,G,published,2017Tassi
Copahue Volcano,Anfiteatro,SVZ,-37.84,-71.19,1996,-7,NA,NA,4.93,NA,4300000000,NA,G,published,2017Tassi
Copahue Volcano,Anfiteatro,SVZ,-37.84,-71.19,2445,-6.8,NA,NA,5.01,NA,1400000000,NA,G,published,2017Tassi
Copahue Volcano,Anfiteatro,SVZ,-37.84,-71.19,254,-8.5,NA,NA,5.09,NA,6800000000,NA,G,published,2017Tassi
Copahue Volcano,Anfiteatro,SVZ,-37.84,-71.19,216,-8.5,NA,NA,5.12,NA,8400000000,NA,G,published,2017Tassi
Copahue Volcano,Anfiteatro,SVZ,-37.84,-71.19,217,-8.8,NA,NA,5.16,NA,7500000000,NA,G,published,2017Tassi
Copahue Volcano,Chancho Co,SVZ,-37.84,-71.19,1058,-8.1,NA,NA,4.04,NA,8500000000,NA,G,published,2017Tassi
Copahue Volcano,Chancho Co,SVZ,-37.84,-71.19,84,-8.3,NA,NA,4.07,NA,9000000000,NA,G,published,2017Tassi
Copahue Volcano,Chancho Co,SVZ,-37.84,-71.19,144,-7.8,NA,NA,4.21,NA,12000000000,NA,G,published,2017Tassi
Copahue Volcano,Chancho Co,SVZ,-37.84,-71.19,914,-8.3,NA,NA,5.02,NA,3800000000,NA,G,published,2017Tassi
Copahue Volcano,Chancho Co,SVZ,-37.84,-71.19,217,-9.3,NA,NA,5.12,NA,7500000000,NA,G,published,2017Tassi
Copahue Volcano,Chancho Co,SVZ,-37.84,-71.19,186,-9.2,NA,NA,5.22,NA,6800000000,NA,G,published,2017Tassi
Copahue Volcano,Chancho Co,SVZ,-37.84,-71.19,75,-8.8,NA,NA,5.35,NA,9100000000,NA,G,published,2017Tassi
Copahue Volcano,cristina 1,SVZ,-37.84,-71.19,458,-9.6,NA,NA,7.75,NA,3000000000,NA,G,published,2017Tassi
Copahue Volcano,cristina 2,SVZ,-37.84,-71.19,NA,-9.5,NA,NA,NA,NA,NA,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinas,SVZ,-37.84,-71.19,485,-7.9,NA,NA,6.43,NA,8900000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinas,SVZ,-37.84,-71.19,333,-7.1,NA,NA,6.48,NA,9600000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinas,SVZ,-37.84,-71.19,115,-6.9,NA,NA,6.67,NA,8500000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinas,SVZ,-37.84,-71.19,1215,-7.3,NA,NA,7.04,NA,6200000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinas,SVZ,-37.84,-71.19,729,-8.3,NA,NA,7.5,NA,NA,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinas,SVZ,-37.84,-71.19,68,-8,NA,NA,7.52,NA,8200000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinas,SVZ,-37.84,-71.19,571,-8.6,NA,NA,7.6,NA,7500000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinas,SVZ,-37.84,-71.19,1025,-9.6,NA,NA,7.65,NA,5900000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinas,SVZ,-37.84,-71.19,845,-9.4,NA,NA,7.71,NA,6200000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinas,SVZ,-37.84,-71.19,1898,-8.2,NA,NA,7.72,NA,3300000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinas,SVZ,-37.84,-71.19,NA,-8.8,NA,NA,NA,NA,NA,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinitas,SVZ,-37.84,-71.19,354,-7.8,NA,NA,5.89,NA,8000000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinitas,SVZ,-37.84,-71.19,1330,-7.1,NA,NA,6.97,NA,5200000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinitas,SVZ,-37.84,-71.19,420,-8.2,NA,NA,7.67,NA,8100000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinitas,SVZ,-37.84,-71.19,512,-8.1,NA,NA,7.68,NA,5700000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinitas,SVZ,-37.84,-71.19,644,-8.3,NA,NA,7.71,NA,6700000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinitas,SVZ,-37.84,-71.19,1679,-7.7,NA,NA,7.94,NA,3100000000,NA,G,published,2017Tassi
Copahue Volcano,Las Maquinitas,SVZ,-37.84,-71.19,NA,NA,NA,NA,NA,NA,NA,NA,G,published,2017Tassi
Copahue Volcano,Piedra Copahue,SVZ,-37.84,-71.19,505,-6.7,NA,NA,6.79,NA,8500000000,NA,G,published,2017Tassi
Copahue Volcano,Piedra Copahue,SVZ,-37.84,-71.19,1048,-7,NA,NA,7.01,NA,8800000000,NA,G,published,2017Tassi
Copahue Volcano,Piedra Copahue,SVZ,-37.84,-71.19,1957,-7.7,NA,NA,7.36,NA,1500000000,NA,G,published,2017Tassi
Copahue Volcano,Piedra Copahue,SVZ,-37.84,-71.19,1228,-8.3,NA,NA,7.6,NA,NA,NA,G,published,2017Tassi
Copahue Volcano,Piedra Copahue,SVZ,-37.84,-71.19,785,-7.5,NA,NA,7.74,NA,8100000000,NA,G,published,2017Tassi
Copahue Volcano,Piedra Copahue,SVZ,-37.84,-71.19,913,-8.7,NA,NA,7.94,NA,5200000000,NA,G,published,2017Tassi
Copahue Volcano,Piedra Copahue,SVZ,-37.84,-71.19,1045,-8.2,NA,NA,7.96,NA,4000000000,NA,G,published,2017Tassi
